State,County,Acres (min),Acres (max)
AR,Arkansas,1,2
AR,Arkansas,2,5
AR,Arkansas,5,10
AR,Arkansas,10,20
AR,Ashley,1,2
AR,Ashley,2,5
AR,Ashley,5,10
AR,Ashley,10,20
AR,Baxter,1,2
AR,Baxter,2,5
AR,Baxter,5,10
AR,Baxter,10,20
AR,Benton,1,2
AR,Benton,2,5
AR,Benton,5,10
AR,Benton,10,20
AR,Boone,1,2
AR,Boone,2,5
AR,Boone,5,10
AR,Boone,10,20
AR,Bradley,1,2
AR,Bradley,2,5
AR,Bradley,5,10
AR,Bradley,10,20
AR,Calhoun,1,2
AR,Calhoun,2,5
AR,Calhoun,5,10
AR,Calhoun,10,20
AR,Carroll,1,2
AR,Carroll,2,5
AR,Carroll,5,10
AR,Carroll,10,20
AR,Chicot,1,2
AR,Chicot,2,5
AR,Chicot,5,10
AR,Chicot,10,20
AR,Clark,1,2
AR,Clark,2,5
AR,Clark,5,10
AR,Clark,10,20
AR,Clay,1,2
AR,Clay,2,5
AR,Clay,5,10
AR,Clay,10,20
AR,Cleburne,1,2
AR,Cleburne,2,5
AR,Cleburne,5,10
AR,Cleburne,10,20
AR,Cleveland,1,2
AR,Cleveland,2,5
AR,Cleveland,5,10
AR,Cleveland,10,20
AR,Columbia,1,2
AR,Columbia,2,5
AR,Columbia,5,10
AR,Columbia,10,20
AR,Conway,1,2
AR,Conway,2,5
AR,Conway,5,10
AR,Conway,10,20
AR,Craighead,1,2
AR,Craighead,2,5
AR,Craighead,5,10
AR,Craighead,10,20
AR,Crawford,1,2
AR,Crawford,2,5
AR,Crawford,5,10
AR,Crawford,10,20
AR,Crittenden,1,2
AR,Crittenden,2,5
AR,Crittenden,5,10
AR,Crittenden,10,20
AR,Cross,1,2
AR,Cross,2,5
AR,Cross,5,10
AR,Cross,10,20
AR,Dallas,1,2
AR,Dallas,2,5
AR,Dallas,5,10
AR,Dallas,10,20
AR,Desha,1,2
AR,Desha,2,5
AR,Desha,5,10
AR,Desha,10,20
AR,Drew,1,2
AR,Drew,2,5
AR,Drew,5,10
AR,Drew,10,20
AR,Faulkner,1,2
AR,Faulkner,2,5
AR,Faulkner,5,10
AR,Faulkner,10,20
AR,Franklin,1,2
AR,Franklin,2,5
AR,Franklin,5,10
AR,Franklin,10,20
AR,Fulton,1,2
AR,Fulton,2,5
AR,Fulton,5,10
AR,Fulton,10,20
AR,Garland,1,2
AR,Garland,2,5
AR,Garland,5,10
AR,Garland,10,20
AR,Grant,1,2
AR,Grant,2,5
AR,Grant,5,10
AR,Grant,10,20
AR,Greene,1,2
AR,Greene,2,5
AR,Greene,5,10
AR,Greene,10,20
AR,Hempstead,1,2
AR,Hempstead,2,5
AR,Hempstead,5,10
AR,Hempstead,10,20
AR,Hot Spring,1,2
AR,Hot Spring,2,5
AR,Hot Spring,5,10
AR,Hot Spring,10,20
AR,Howard,1,2
AR,Howard,2,5
AR,Howard,5,10
AR,Howard,10,20
